timestamp,zone_id,zone,energy_kwh,temperature_c,efficiency_pct,co2_kg,cost_usd,production_units,status
2025-11-21 19:05:22,body_shop,Body Shop (BIW),837.64,54.64,68.6942440079918,195.17,100.52,849,red
2025-11-21 19:05:22,paint,Paint Shop,1181.1,184.12,80.01,275.2,141.73,800,green
2025-11-21 19:05:22,assembly,General Assembly,657.84,25.72,87.01,153.28,78.94,870,green
2025-11-21 19:05:22,powertrain,Powertrain Assembly,550.03,35.86,88.37,128.16,66.0,883,green
2025-11-21 19:05:22,quality,Quality Control,314.3,21.14,94.08,73.23,37.72,940,green
2025-11-21 19:05:22,logistics,Logistics,284.12,20.31,90.75,66.2,34.09,907,green
2025-11-21 20:05:22,stamping,Stamping Shop,497.57,67.95,91.41,115.93,59.71,967,green
2025-11-21 20:05:22,body_shop,Body Shop (BIW),871.75,54.45,86.87,203.12,104.61,919,green
2025-11-21 20:05:22,paint,Paint Shop,1247.18,179.26,85.4,290.59,149.66,904,green
2025-11-21 20:05:22,assembly,General Assembly,782.27,23.92,82.03,182.27,93.87,868,amber
2025-11-21 20:05:22,powertrain,Powertrain Assembly,588.13,36.24,91.51,137.03,70.58,968,green
2025-11-21 20:05:22,quality,Quality Control,380.8,21.87,93.51,88.73,45.7,989,amber
2025-11-21 20:05:22,logistics,Logistics,289.63,21.09,89.94,67.48,34.76,952,green
2025-11-21 21:05:22,stamping,Stamping Shop,544.86,62.61,93.14,126.95,65.38,1038,amber
2025-11-21 21:05:22,body_shop,Body Shop (BIW),826.03,56.56,87.9,192.46,99.12,979,green
2025-11-21 21:05:22,paint,Paint Shop,1327.05,194.07,84.78,309.2,159.25,945,green
2025-11-21 21:05:22,assembly,General Assembly,805.34,26.68,86.36,187.64,96.64,962,amber
2025-11-21 21:05:22,powertrain,Powertrain Assembly,655.43,34.56,83.18,152.72,78.65,927,amber
2025-11-21 21:05:22,quality,Quality Control,338.39,22.02,92.26,78.85,40.61,1028,green
2025-11-21 21:05:22,logistics,Logistics,328.8,19.74,93.25,76.61,39.46,1039,amber
2025-11-21 22:05:22,stamping,Stamping Shop,545.06,65.51,89.67,127.0,65.41,1046,amber
2025-11-21 22:05:22,body_shop,Body Shop (BIW),908.71,53.07,84.47,211.73,109.04,985,green
2025-11-21 22:05:22,paint,Paint Shop,1410.79,188.33,82.91,328.72,169.3,967,amber
2025-11-21 22:05:22,assembly,General Assembly,790.78,24.23,85.26,184.25,94.89,994,amber
2025-11-21 22:05:22,powertrain,Powertrain Assembly,665.38,34.1,87.81,155.03,79.85,1024,amber
2025-11-21 22:05:22,quality,Quality Control,367.05,23.38,91.79,85.52,44.05,1070,green
2025-11-21 22:05:22,logistics,Logistics,296.26,19.82,91.11,69.03,35.55,1062,green
2025-11-21 23:05:22,stamping,Stamping Shop,525.65,64.03,89.02,122.48,63.08,1079,amber
2025-11-21 23:05:22,body_shop,Body Shop (BIW),884.95,55.93,85.59,206.19,106.19,1037,green
2025-11-21 23:05:22,paint,Paint Shop,1395.82,177.21,84.63,325.22,167.5,1025,amber
2025-11-21 23:05:22,assembly,General Assembly,848.35,25.22,85.2,197.67,101.8,1032,amber
2025-11-21 23:05:22,powertrain,Powertrain Assembly,704.48,33.39,83.85,164.14,84.54,1016,red
2025-11-21 23:05:22,quality,Quality Control,354.05,21.59,90.01,82.49,42.49,1090,green
2025-11-21 23:05:22,logistics,Logistics,349.46,19.71,90.84,81.42,41.93,1101,amber
2025-11-22 00:05:22,stamping,Stamping Shop,533.85,63.16,90.64,124.39,64.06,1132,amber
2025-11-22 00:05:22,body_shop,Body Shop (BIW),1043.79,53.01,84.8,243.2,125.26,1059,red
2025-11-22 00:05:22,paint,Paint Shop,1382.63,184.52,83.85,322.15,165.92,1047,amber
2025-11-22 00:05:22,assembly,General Assembly,874.74,25.99,88.11,203.81,104.97,1100,red
2025-11-22 00:05:22,powertrain,Powertrain Assembly,643.71,36.2,89.45,149.98,77.24,1117,amber
2025-11-22 00:05:22,quality,Quality Control,428.22,21.68,93.31,99.77,51.39,1165,red
2025-11-22 00:05:22,logistics,Logistics,372.67,20.47,94.59,86.83,44.72,1181,red
2025-11-22 01:05:22,stamping,Stamping Shop,957.6437962903993,62.58,89.05,182.75270186402713,66.6,1137,red
2025-11-22 01:05:22,body_shop,Body Shop (BIW),1052.36,52.17,84.41,245.2,126.28,1078,red
2025-11-22 01:05:22,paint,Paint Shop,1402.81,188.03,81.17,326.85,168.34,1036,amber
2025-11-22 01:05:22,assembly,General Assembly,809.66,24.38,90.33,188.65,97.16,1153,amber
2025-11-22 01:05:22,powertrain,Powertrain Assembly,688.52,33.45,91.15,160.42,82.62,1164,red
2025-11-22 01:05:22,quality,Quality Control,398.68,21.01,92.54,92.89,47.84,1181,amber
2025-11-22 01:05:22,logistics,Logistics,369.61,19.54,90.03,86.12,44.35,1149,red
2025-11-22 02:05:22,stamping,Stamping Shop,611.67,63.51,92.96,142.52,73.4,1203,red
2025-11-22 02:05:22,body_shop,Body Shop (BIW),1076.47,57.06,85.67,250.82,129.18,1108,red
2025-11-22 02:05:22,paint,Paint Shop,1502.87,192.72,81.91,350.17,180.34,1060,red
2025-11-22 02:05:22,assembly,General Assembly,892.01,27.88,84.81,207.84,107.04,1097,red
2025-11-22 02:05:22,powertrain,Powertrain Assembly,688.6,33.31,87.48,160.44,82.63,1132,red
2025-11-22 02:05:22,quality,Quality Control,416.39,21.11,88.97,97.02,49.97,1151,red
2025-11-22 02:05:22,logistics,Logistics,373.55,21.03,90.44,87.04,44.83,1170,red
2025-11-22 03:05:22,stamping,Stamping Shop,555.73,63.68,87.62,129.49,66.69,1139,amber
2025-11-22 03:05:22,body_shop,Body Shop (BIW),994.56,59.64,85.62,231.73,119.35,1113,amber
2025-11-22 03:05:22,paint,Paint Shop,1512.5,177.53,86.36,352.41,181.5,1122,red
2025-11-22 03:05:22,assembly,General Assembly,913.77,24.59,83.7,212.91,109.65,1088,red
2025-11-22 03:05:22,powertrain,Powertrain Assembly,709.06,35.62,86.67,165.21,85.09,1126,red
2025-11-22 03:05:22,quality,Quality Control,441.09,22.14,93.23,102.77,52.93,1211,red
2025-11-22 03:05:22,logistics,Logistics,382.15,28.89070360673962,90.47,89.04,45.86,1176,red
2025-11-22 04:05:22,stamping,Stamping Shop,537.62,64.14,85.61,125.26,64.51,1107,amber
2025-11-22 04:05:22,body_shop,Body Shop (BIW),1035.48,55.09,85.6,241.27,124.26,1107,red
2025-11-22 04:05:22,paint,Paint Shop,1652.21,198.04,83.61,384.96,198.27,1082,red
2025-11-22 04:05:22,assembly,General Assembly,852.36,24.18,85.91,198.6,102.28,1111,red
2025-11-22 04:05:22,powertrain,Powertrain Assembly,692.88,34.54,88.83,161.44,83.15,1149,red
2025-11-22 04:05:22,quality,Quality Control,405.6,21.68,95.29,94.5,48.67,1233,red
2025-11-22 04:05:22,logistics,Logistics,334.03,19.18,84.54,77.83,40.08,1094,amber
2025-11-22 05:05:22,stamping,Stamping Shop,580.77,88.74754703484254,90.24,135.32,69.69,1152,red
2025-11-22 05:05:22,body_shop,Body Shop (BIW),1101.9,52.57,90.38,256.74,132.23,1154,red
2025-11-22 05:05:22,paint,Paint Shop,1537.4,169.92,82.8,358.21,184.49,1057,red
2025-11-22 05:05:22,assembly,General Assembly,875.67,24.95,86.22,204.03,105.08,1101,red
2025-11-22 05:05:22,powertrain,Powertrain Assembly,679.29,35.33,84.02,158.27,81.51,1073,amber
2025-11-22 05:05:22,quality,Quality Control,408.73,20.8,95.39,95.24,49.05,1218,red
2025-11-22 05:05:22,logistics,Logistics,365.51,19.19,87.03,85.16,43.86,1111,red
2025-11-22 06:05:22,stamping,Stamping Shop,563.42,65.43,89.23,131.28,67.61,1114,red
2025-11-22 06:05:22,body_shop,Body Shop (BIW),1015.51,58.55,84.98,236.61,121.86,1061,red
2025-11-22 06:05:22,paint,Paint Shop,1439.77,186.31,69.46119170517521,335.47,172.77,1032,amber
2025-11-22 06:05:22,assembly,General Assembly,803.11,26.57,86.94,187.13,96.37,1086,amber
2025-11-22 06:05:22,powertrain,Powertrain Assembly,630.6,34.08,88.79,146.93,75.67,1109,green
2025-11-22 06:05:22,quality,Quality Control,406.37,20.22,90.33,94.68,48.76,1128,red
2025-11-22 06:05:22,logistics,Logistics,360.6,19.77,93.18,84.02,43.27,1164,red
2025-11-22 07:05:22,stamping,Stamping Shop,551.63,68.31,90.0,128.53,66.2,1090,amber
2025-11-22 07:05:22,body_shop,Body Shop (BIW),942.09,56.59,85.49,219.51,113.05,1036,amber
2025-11-22 07:05:22,paint,Paint Shop,1539.11,172.71,84.24,358.61,184.69,1021,red
2025-11-22 07:05:22,assembly,General Assembly,759.15,24.22,85.9,176.88,91.1,1041,green
2025-11-22 07:05:22,powertrain,Powertrain Assembly,1030.050310194656,38.1,89.64,202.1324693398164,78.42,1086,red
2025-11-22 07:05:22,quality,Quality Control,358.21,20.46,97.31,83.46,42.99,1179,green
2025-11-22 07:05:22,logistics,Logistics,344.29,19.8,93.1,80.22,41.31,1128,amber
2025-11-22 08:05:22,stamping,Stamping Shop,523.22,64.9,92.36,121.91,62.79,1077,amber
2025-11-22 08:05:22,body_shop,Body Shop (BIW),994.78,55.33,86.77,231.78,119.37,1012,amber
2025-11-22 08:05:22,paint,Paint Shop,1381.23,178.82,82.99,321.83,165.75,968,amber
2025-11-22 08:05:22,assembly,General Assembly,772.42,24.76,84.28,179.97,92.69,983,green
2025-11-22 08:05:22,powertrain,Powertrain Assembly,650.83,34.79,87.62,151.64,78.1,1022,amber
2025-11-22 08:05:22,quality,Quality Control,379.33,22.85,93.38,88.38,45.52,1089,amber
2025-11-22 08:05:22,logistics,Logistics,335.85,19.65,91.61,78.25,40.3,1068,amber
2025-11-22 09:05:22,stamping,Stamping Shop,465.99,63.88,90.62,108.57,55.92,1010,green
2025-11-22 09:05:22,body_shop,Body Shop (BIW),901.99,54.79,83.4,210.16,108.24,929,green
2025-11-22 09:05:22,paint,Paint Shop,1309.0,184.27,78.27,305.0,157.08,872,green
2025-11-22 09:05:22,assembly,General Assembly,711.58,23.95,87.46,165.8,85.39,974,green
2025-11-22 09:05:22,powertrain,Powertrain Assembly,597.18,32.86,90.07,139.14,71.66,1004,green
2025-11-22 09:05:22,quality,Quality Control,383.01,22.06,92.7,89.24,45.96,1033,amber
2025-11-22 09:05:22,logistics,Logistics,315.87,21.07,92.98,73.6,37.9,1036,green
2025-11-22 10:05:22,stamping,Stamping Shop,484.6,64.47,89.76,112.91,58.15,950,green
2025-11-22 10:05:22,body_shop,Body Shop (BIW),831.08,57.34,88.48,193.64,99.73,936,green
2025-11-22 10:05:22,paint,Paint Shop,1262.64,256.1506645818644,85.64,294.19,151.52,906,green
2025-11-22 10:05:22,assembly,General Assembly,720.3,25.31,88.63,167.83,86.44,938,green
2025-11-22 10:05:22,powertrain,Powertrain Assembly,633.71,34.01,86.69,147.65,76.05,917,amber
2025-11-22 10:05:22,quality,Quality Control,332.35,20.9,93.2,77.44,39.88,986,green
2025-11-22 10:05:22,logistics,Logistics,298.31,20.65,89.81,69.51,35.8,950,green
2025-11-22 11:05:22,stamping,Stamping Shop,248.74,66.06,90.25,57.96,29.85,544,green
2025-11-22 11:05:22,body_shop,Body Shop (BIW),521.51,55.22,87.48,121.51,62.58,528,green
2025-11-22 11:05:22,paint,Paint Shop,726.75,177.17,83.29,169.33,87.21,502,green
2025-11-22 11:05:22,assembly,General Assembly,428.73,24.73,87.6,99.89,51.45,528,green
2025-11-22 11:05:22,powertrain,Powertrain Assembly,320.83,35.44,86.01,74.75,38.5,519,green
2025-11-22 11:05:22,quality,Quality Control,193.45,20.59,89.52,45.07,23.21,540,green
2025-11-22 11:05:22,logistics,Logistics,174.44,19.19,89.06,40.64,20.93,537,green
2025-11-22 12:05:22,stamping,Stamping Shop,268.89,62.03,85.27,62.65,32.27,467,green
2025-11-22 12:05:22,body_shop,Body Shop (BIW),390.8,53.41,89.4,91.06,46.9,490,green
2025-11-22 12:05:22,paint,Paint Shop,618.92,185.72,82.3,144.21,74.27,451,green
2025-11-22 12:05:22,assembly,General Assembly,394.58,24.51,85.97,91.94,47.35,471,green
2025-11-22 12:05:22,powertrain,Powertrain Assembly,297.72,34.04,88.97,69.37,35.73,488,green
2025-11-22 12:05:22,quality,Quality Control,167.25,23.83,92.31,38.97,20.07,506,green
2025-11-22 12:05:22,logistics,Logistics,141.71,19.79,92.87,33.02,17.0,509,green
